model,dataset,bce_f1_mean,bce_f1_std,bce_n_seeds,cbfocal_f1_mean,cbfocal_f1_std,cbfocal_n_seeds,delta_cbfocal_minus_bce
CodeBERT,CVEFixes,0.5978,0.006,3,0.5995,0.0075,3,0.0017
CodeT5,CVEFixes,0.601,0.0067,3,0.5974,0.0052,3,-0.0036
CodeT5-Full,CVEFixes,0.5917,0.0018,3,0.5905,0.0034,3,-0.0012
GraphCodeBERT,CVEFixes,0.6033,0.0061,3,0.595,0.0111,3,-0.0083
NatGen,CVEFixes,0.5951,0.0087,3,0.5942,0.0047,3,-0.0009
LineVul,CVEFixes,0.5859,0.0,3,0.5859,0.0,3,0.0
Gradient Boosting,CVEFixes,0.598,0.002,3,0.598,0.002,3,0.0
CodeBERT,Devign (dedup),0.6765,0.0061,3,0.6771,0.003,3,0.0006
CodeT5,Devign (dedup),0.6823,0.0049,3,0.6778,0.004,3,-0.0045
CodeT5-Full,Devign (dedup),0.6815,0.0042,3,0.6678,0.0072,3,-0.0137
GraphCodeBERT,Devign (dedup),0.6738,0.0037,3,0.6668,0.0036,3,-0.007
NatGen,Devign (dedup),0.6835,0.0023,3,0.6704,0.0101,3,-0.0131
LineVul,Devign (dedup),0.6355,0.0111,3,0.6381,0.0185,3,0.0026
Gradient Boosting,Devign (dedup),0.6557,0.0037,3,0.6557,0.0037,3,0.0
CodeBERT,Devign,0.4832,0.2185,6,0.6409,0.015,6,0.1577
CodeT5,Devign,0.4169,0.2735,6,0.5701,0.1531,6,0.1532
CodeT5-Full,Devign,0.4059,0.2872,6,0.5555,0.1205,6,0.1496
GraphCodeBERT,Devign,0.4148,0.2769,6,0.6277,0.0262,6,0.2129
NatGen,Devign,0.4173,0.2778,6,0.6299,0.0396,6,0.2126
LineVul,Devign,0.4117,0.3073,6,0.6384,0.0138,6,0.2267
Gradient Boosting,Devign,0.6493,0.0061,3,0.6493,0.0061,3,0.0
CodeBERT,DiverseVul,0.0617,0.0835,3,0.2962,0.0274,3,0.2345
CodeT5,DiverseVul,0.3229,0.0186,3,0.3324,0.0107,3,0.0095
CodeT5-Full,DiverseVul,0.3027,0.0271,3,0.3257,0.0129,3,0.023
GraphCodeBERT,DiverseVul,0.1277,0.1185,3,0.3236,0.0074,3,0.1959
NatGen,DiverseVul,0.3071,0.0255,3,0.3242,0.0053,3,0.0171
LineVul,DiverseVul,0.0,0.0,3,0.0865,0.0381,3,0.0865
Gradient Boosting,DiverseVul,0.2852,0.0062,3,0.2852,0.0062,3,0.0
CodeBERT,Draper,0.3765,0.3256,3,0.5738,0.0066,3,0.1973
CodeT5,Draper,0.5986,0.0104,3,0.603,0.0011,3,0.0044
CodeT5-Full,Draper,0.6014,0.0085,3,0.5996,0.0108,3,-0.0018
GraphCodeBERT,Draper,0.5617,0.0151,3,0.5797,0.0096,3,0.018
NatGen,Draper,0.6021,0.0041,3,0.6045,0.0112,3,0.0024
LineVul,Draper,0.0,0.0,3,0.2221,0.1743,3,0.2221
Gradient Boosting,Draper,0.4857,0.0041,3,0.4857,0.0041,3,0.0
CodeBERT,ICVul,0.5854,0.0023,3,0.5857,0.0025,3,0.0003
CodeT5,ICVul,0.5873,0.0042,3,0.5888,0.0011,3,0.0015
CodeT5-Full,ICVul,0.5826,0.0004,3,0.5839,0.0032,3,0.0013
GraphCodeBERT,ICVul,0.585,0.005,3,0.5868,0.0035,3,0.0018
NatGen,ICVul,0.5857,0.0033,3,0.5824,0.0016,3,-0.0033
LineVul,ICVul,0.5799,0.0,3,0.5799,0.0,3,0.0
Gradient Boosting,ICVul,0.5835,0.0006,3,0.5835,0.0006,3,0.0
CodeBERT,Juliet,0.8966,0.0023,3,0.8983,0.0026,3,0.0017
CodeT5,Juliet,0.8996,0.0029,3,0.8993,0.003,3,-0.0003
CodeT5-Full,Juliet,0.8975,0.0025,3,0.8994,0.003,3,0.0019
GraphCodeBERT,Juliet,0.8987,0.003,3,0.8986,0.0027,3,-0.0001
