dataset,best_model_f1,word_count_baseline_f1,gap,robustness_category
Juliet,0.8998,0.8966,0.0032,Small
VulDeepecker,0.9587,0.9548,0.0039,Small
ICVul,0.5888,0.5835,0.0054,Small
CVEFixes,0.6033,0.598,0.0054,Small
Devign,0.6672,0.6493,0.0179,Small
Devign (dedup),0.6835,0.6557,0.0278,Small
Reveal,0.4888,0.4483,0.0405,Small
MVDSC Mixed,0.8925,0.8515,0.041,Small
DiverseVul,0.3324,0.2852,0.0471,Small
PrimeVul,0.2413,0.1763,0.065,Small
BigVul (dedup),0.4263,0.3414,0.0849,Small
Draper,0.6045,0.4857,0.1188,Medium
