model,dataset,config,n_seeds,default_f1_mean,default_f1_std,optimal_f1_mean,optimal_f1_std,delta_f1_mean,delta_f1_std,optimal_threshold_mean,optimal_threshold_std
CodeBERT,CVEFixes,bce/acc,3,0.1366,0.1146,0.5978,0.006,0.4612,0.1086,0.213,0.07
CodeBERT,CVEFixes,cb_focal/f1,3,0.4707,0.0455,0.5995,0.0075,0.1288,0.0529,0.293,0.09
CodeT5,CVEFixes,bce/acc,3,0.1701,0.1184,0.601,0.0067,0.431,0.1118,0.293,0.092
CodeT5,CVEFixes,cb_focal/f1,3,0.5391,0.0561,0.5974,0.0052,0.0584,0.059,0.427,0.046
CodeT5-Full,CVEFixes,bce/acc,3,0.0927,0.1605,0.5917,0.0018,0.499,0.1586,0.22,0.02
CodeT5-Full,CVEFixes,cb_focal/f1,3,0.5573,0.0303,0.5905,0.0034,0.0331,0.0312,0.44,0.02
GraphCodeBERT,CVEFixes,bce/acc,3,0.1657,0.0893,0.6033,0.0061,0.4377,0.0888,0.2,0.072
GraphCodeBERT,CVEFixes,cb_focal/f1,3,0.3152,0.2747,0.595,0.0111,0.2798,0.2679,0.307,0.186
NatGen,CVEFixes,bce/acc,3,0.1144,0.1478,0.5951,0.0087,0.4807,0.1392,0.173,0.031
NatGen,CVEFixes,cb_focal/f1,3,0.5246,0.0575,0.5942,0.0047,0.0696,0.0622,0.433,0.061
LineVul,CVEFixes,bce/acc,3,0.0,0.0,0.5859,0.0,0.5859,0.0,0.1,0.0
LineVul,CVEFixes,cb_focal/f1,3,0.5859,0.0,0.5859,0.0,0.0,0.0,0.1,0.0
Gradient Boosting,CVEFixes,bce/acc,3,0.2356,0.0243,0.598,0.002,0.3624,0.0243,0.24,0.053
Gradient Boosting,CVEFixes,cb_focal/f1,3,0.2356,0.0243,0.598,0.002,0.3624,0.0243,0.24,0.053
CodeBERT,BigVul (dedup),bce/acc,3,0.164,0.143,0.2729,0.1421,0.1089,0.0062,0.127,0.046
CodeBERT,BigVul (dedup),cb_focal/f1,3,0.2418,0.212,0.3015,0.1673,0.0597,0.0459,0.267,0.145
CodeT5,BigVul (dedup),bce/acc,3,0.3157,0.0234,0.4035,0.0098,0.0878,0.03,0.16,0.02
CodeT5,BigVul (dedup),cb_focal/f1,3,0.4057,0.0147,0.4263,0.0052,0.0206,0.0137,0.373,0.061
CodeT5-Full,BigVul (dedup),bce/acc,3,0.2968,0.0634,0.394,0.0192,0.0972,0.0501,0.113,0.023
CodeT5-Full,BigVul (dedup),cb_focal/f1,3,0.3904,0.0301,0.4102,0.0206,0.0198,0.0106,0.387,0.023
GraphCodeBERT,BigVul (dedup),bce/acc,3,0.2176,0.0259,0.3687,0.0105,0.1511,0.0357,0.107,0.012
GraphCodeBERT,BigVul (dedup),cb_focal/f1,3,0.3864,0.0215,0.4117,0.0123,0.0253,0.0111,0.36,0.04
NatGen,BigVul (dedup),bce/acc,3,0.3044,0.0302,0.3903,0.0129,0.0859,0.0196,0.127,0.046
NatGen,BigVul (dedup),cb_focal/f1,3,0.3959,0.0088,0.4123,0.0038,0.0164,0.0071,0.407,0.012
LineVul,BigVul (dedup),bce/acc,3,0.085,0.1175,0.1444,0.1233,0.0594,0.0875,0.107,0.012
LineVul,BigVul (dedup),cb_focal/f1,3,0.0672,0.1165,0.2567,0.0296,0.1895,0.1452,0.173,0.07
Gradient Boosting,BigVul (dedup),bce/acc,3,0.2369,0.0024,0.3414,0.0078,0.1045,0.0091,0.153,0.012
Gradient Boosting,BigVul (dedup),cb_focal/f1,3,0.2369,0.0024,0.3414,0.0078,0.1045,0.0091,0.153,0.012
CodeBERT,Devign (dedup),bce/acc,3,0.5693,0.0326,0.6765,0.0061,0.1072,0.0354,0.147,0.042
CodeBERT,Devign (dedup),cb_focal/f1,3,0.6092,0.0112,0.6771,0.003,0.0679,0.012,0.393,0.05
CodeT5,Devign (dedup),bce/acc,3,0.6254,0.0046,0.6823,0.0049,0.0568,0.009,0.14,0.02
CodeT5,Devign (dedup),cb_focal/f1,3,0.6482,0.0116,0.6778,0.004,0.0296,0.0155,0.373,0.101
CodeT5-Full,Devign (dedup),bce/acc,3,0.5962,0.0207,0.6815,0.0042,0.0853,0.0238,0.24,0.06
CodeT5-Full,Devign (dedup),cb_focal/f1,3,0.6478,0.0131,0.6678,0.0072,0.02,0.0099,0.46,0.0
GraphCodeBERT,Devign (dedup),bce/acc,3,0.5991,0.0296,0.6738,0.0037,0.0747,0.0261,0.3,0.04
GraphCodeBERT,Devign (dedup),cb_focal/f1,3,0.6429,0.0173,0.6668,0.0036,0.0239,0.0207,0.433,0.042
NatGen,Devign (dedup),bce/acc,3,0.6172,0.006,0.6835,0.0023,0.0662,0.0073,0.187,0.076
NatGen,Devign (dedup),cb_focal/f1,3,0.6525,0.0133,0.6704,0.0101,0.0179,0.0033,0.433,0.023
LineVul,Devign (dedup),bce/acc,3,0.3419,0.3034,0.6355,0.0111,0.2936,0.2947,0.227,0.114
LineVul,Devign (dedup),cb_focal/f1,3,0.638,0.0184,0.6381,0.0185,0.0001,0.0001,0.24,0.242
Gradient Boosting,Devign (dedup),bce/acc,3,0.5218,0.0135,0.6557,0.0037,0.1338,0.0101,0.287,0.031
Gradient Boosting,Devign (dedup),cb_focal/f1,3,0.5218,0.0135,0.6557,0.0037,0.1338,0.0101,0.287,0.031
CodeBERT,Devign,bce/acc,6,0.2834,0.2713,0.4832,0.2185,0.1998,0.1022,0.11,0.017
CodeBERT,Devign,cb_focal/f1,6,0.4316,0.2106,0.6409,0.015,0.2093,0.1957,0.313,0.169
CodeT5,Devign,bce/acc,6,0.299,0.3237,0.4169,0.2735,0.1178,0.0575,0.16,0.096
CodeT5,Devign,cb_focal/f1,6,0.3716,0.268,0.5701,0.1531,0.1985,0.1909,0.257,0.174
CodeT5-Full,Devign,bce/acc,6,0.2985,0.3048,0.4059,0.2872,0.1074,0.0293,0.143,0.051
CodeT5-Full,Devign,cb_focal/f1,6,0.3552,0.3018,0.5555,0.1205,0.2003,0.2092,0.24,0.158
GraphCodeBERT,Devign,bce/acc,6,0.2732,0.2757,0.4148,0.2769,0.1416,0.039,0.113,0.021
GraphCodeBERT,Devign,cb_focal/f1,6,0.404,0.2463,0.6277,0.0262,0.2237,0.2231,0.29,0.201
NatGen,Devign,bce/acc,6,0.304,0.3192,0.4173,0.2778,0.1134,0.0637,0.127,0.033
NatGen,Devign,cb_focal/f1,6,0.3835,0.2916,0.6299,0.0396,0.2465,0.2524,0.27,0.187
LineVul,Devign,bce/acc,6,0.3004,0.3272,0.4117,0.3073,0.1113,0.1879,0.163,0.095
LineVul,Devign,cb_focal/f1,6,0.3676,0.3041,0.6384,0.0138,0.2708,0.291,0.353,0.291
Gradient Boosting,Devign,bce/acc,3,0.5111,0.0103,0.6493,0.0061,0.1382,0.005,0.307,0.012
Gradient Boosting,Devign,cb_focal/f1,3,0.5111,0.0103,0.6493,0.0061,0.1382,0.005,0.307,0.012
CodeBERT,DiverseVul,bce/acc,3,0.0,0.0,0.0617,0.0835,0.0617,0.0835,0.1,0.0
CodeBERT,DiverseVul,cb_focal/f1,3,0.1561,0.1356,0.2962,0.0274,0.1401,0.1083,0.347,0.031
CodeT5,DiverseVul,bce/acc,3,0.1146,0.0482,0.3229,0.0186,0.2083,0.0361,0.187,0.046
CodeT5,DiverseVul,cb_focal/f1,3,0.2805,0.008,0.3324,0.0107,0.0519,0.0028,0.367,0.042
CodeT5-Full,DiverseVul,bce/acc,3,0.0632,0.0432,0.3027,0.0271,0.2395,0.0183,0.1,0.0
CodeT5-Full,DiverseVul,cb_focal/f1,3,0.2665,0.0139,0.3257,0.0129,0.0591,0.0042,0.313,0.07
GraphCodeBERT,DiverseVul,bce/acc,3,0.0054,0.0094,0.1277,0.1185,0.1222,0.1174,0.12,0.035
GraphCodeBERT,DiverseVul,cb_focal/f1,3,0.2539,0.0113,0.3236,0.0074,0.0697,0.0045,0.347,0.031
NatGen,DiverseVul,bce/acc,3,0.0843,0.0301,0.3071,0.0255,0.2229,0.0314,0.12,0.035
